Date,^J203.JO
2016-07-04,52454.23828125
2016-07-05,51670.16015625
2016-07-06,50811.66015625
2016-07-07,51097.48046875
2016-07-08,51276.3984375
2016-07-11,52170.37109375
2016-07-12,52547.51953125
2016-07-13,52814.87890625
2016-07-14,52837.03125
2016-07-15,53088.4609375
2016-07-18,53046.30859375
2016-07-19,52892.921875
2016-07-20,52837.859375
2016-07-21,52974.03125
2016-07-22,53005.21875
2016-07-25,53292.51953125
2016-07-26,53638.0390625
2016-07-27,53764.26171875
2016-07-28,53282.16015625
2016-07-29,52797.578125
2016-08-01,53126.80078125
2016-08-02,52532.76171875
2016-08-04,52543.37109375
2016-08-05,52348.359375
2016-08-08,52486.6484375
2016-08-10,52218.609375
2016-08-11,52321.78125
2016-08-12,52806.5
2016-08-15,52397.96875
2016-08-16,52396.3984375
2016-08-17,52309.69921875
2016-08-18,52989.66015625
2016-08-19,52771.94921875
2016-08-22,52828.9296875
2016-08-23,52957.80078125
2016-08-24,53562.80078125
2016-08-25,53482.87890625
2016-08-26,53506.62109375
2016-08-29,53563.9296875
2016-08-30,53448.69140625
2016-08-31,52733.12109375
2016-09-01,52631.328125
2016-09-02,53500.0703125
2016-09-05,53622.0
2016-09-06,53680.4296875
2016-09-07,53456.4296875
2016-09-08,53250.25
2016-09-09,53347.30078125
2016-09-12,52802.0
2016-09-13,52805.9609375
2016-09-14,52501.96875
2016-09-15,52174.26171875
2016-09-16,51832.55078125
2016-09-19,51975.890625
2016-09-20,51335.75
2016-09-21,50757.8203125
2016-09-22,51895.1796875
2016-09-23,51999.44921875
2016-09-26,51479.80078125
2016-09-27,50899.66015625
2016-09-28,51773.5
2016-09-29,52698.578125
2016-09-30,51949.828125
2016-10-03,51658.98828125
2016-10-04,52040.8515625
2016-10-05,51868.53125
2016-10-06,51610.78125
2016-10-07,51662.0703125
2016-10-10,51675.51171875
2016-10-11,51898.8203125
2016-10-12,51548.12890625
2016-10-13,50494.51171875
2016-10-14,51146.78125
2016-10-17,50769.01171875
2016-10-18,51126.7890625
2016-10-19,51504.87109375
2016-10-20,51420.66015625
2016-10-21,51629.23046875
2016-10-24,51683.390625
2016-10-25,51749.859375
2016-10-26,51552.3203125
2016-10-27,51139.66015625
2016-10-28,50797.69921875
2016-10-31,50590.078125
2016-11-01,51002.69140625
2016-11-02,50384.87109375
2016-11-03,50239.26953125
2016-11-04,49686.1015625
2016-11-07,50303.76953125
2016-11-08,50700.69921875
2016-11-09,50977.8515625
2016-11-10,51493.0
2016-11-11,50294.71875
2016-11-14,49731.890625
